sample,pi_estimate
464,3.19654
465,3.19828
466,3.2
467,3.19313
468,3.19486
469,3.19658
470,3.19829
471,3.2
472,3.2017
473,3.19492
474,3.19662
475,3.19831
476,3.2
477,3.20168
478,3.20335
479,3.20502
480,3.20668
481,3.2
482,3.19335
483,3.19502
484,3.19669
485,3.19835
486,3.2
487,3.19342
488,3.19507
489,3.18852
490,3.182
491,3.17551
492,3.17719
493,3.17886
494,3.17241
495,3.17409
496,3.17576
497,3.17742
498,3.17103
499,3.17269
500,3.16633
501,3.168
502,3.16168
503,3.16335
504,3.16501
505,3.15873
506,3.15248
507,3.15415
508,3.15582
509,3.15748
510,3.15914
511,3.16078
512,3.16243
513,3.16406
514,3.16569
515,3.16732
516,3.16117
517,3.16279
518,3.16441
519,3.16602
520,3.16763
521,3.16923
522,3.17083
523,3.17241
524,3.174
525,3.16794
526,3.16952
527,3.1635
528,3.16509
529,3.15909
530,3.16068
531,3.16226
532,3.16384
533,3.16541
534,3.16698
535,3.16854
536,3.17009
537,3.16418
538,3.16574
539,3.16729
540,3.16883
541,3.17037
542,3.1719
543,3.16605
544,3.16022
545,3.16176
546,3.1633
547,3.16484
548,3.16636
549,3.16788
550,3.16211
551,3.16364
552,3.16515
553,3.16667
554,3.16817
555,3.16968
556,3.17117
557,3.17266
558,3.16697
559,3.16846
560,3.16995
561,3.16429
562,3.16578
563,3.16014
564,3.16163
565,3.16312
566,3.15752
567,3.15901
568,3.16049
569,3.16197
570,3.16344
571,3.15789
572,3.15236
573,3.15385
574,3.15532
575,3.14983
576,3.1513
577,3.15278
578,3.15425
579,3.15571
580,3.15717
581,3.15172
582,3.15318
583,3.15464
584,3.14923
585,3.15068
586,3.15214
587,3.15358
588,3.15503
589,3.15646
590,3.15789
591,3.15932
592,3.16074
593,3.15541
594,3.15683
595,3.15825
596,3.15966
597,3.16107
598,3.16248
599,3.16388
600,3.1586
601,3.16
602,3.1614
603,3.16279
604,3.16418
605,3.16556
606,3.16694
607,3.16832
608,3.16969
609,3.17105
610,3.17241
611,3.17377
612,3.17512
613,3.17647
614,3.17781
615,3.17915
616,3.18049
617,3.17532
618,3.17018
619,3.17152
620,3.17286
621,3.17419
622,3.16908
623,3.17042
624,3.17175
625,3.17308
626,3.1744
627,3.17572
628,3.17703
629,3.17834
630,3.17965
631,3.1746
632,3.17591
633,3.17722
634,3.17852
635,3.17981
636,3.1748
637,3.1761
638,3.17739
639,3.17868
640,3.17997
641,3.18125
642,3.18253
643,3.1838
644,3.18507
645,3.18634
646,3.1876
647,3.18885
648,3.19011
649,3.19136
650,3.1926
651,3.19385
652,3.18894
653,3.19018
654,3.19142
655,3.18654
656,3.18779
657,3.18293
658,3.18417
659,3.18541
660,3.18665
661,3.18788
662,3.18911
663,3.19033
664,3.19155
665,3.19277
666,3.19398
667,3.1952
668,3.1964
669,3.1976
670,3.19283
671,3.19403
672,3.19523
673,3.19643
674,3.19762
675,3.19881
676,3.2
677,3.19527
678,3.19645
679,3.19174
680,3.19293
681,3.19412
682,3.1953
683,3.19648
684,3.1918
685,3.19298
686,3.19416
687,3.19534
688,3.19651
689,3.19186
690,3.19303
691,3.1942
692,3.19537
693,3.19653
694,3.19769
695,3.19885
696,3.2
697,3.20115
698,3.2023
699,3.20344
700,3.19886
701,3.2
702,3.20114
703,3.20228
704,3.20341
705,3.20455
706,3.20567
707,3.2068
708,3.20792
709,3.20904
710,3.21016
711,3.20563
712,3.20675
713,3.20225
714,3.20337
715,3.20448
716,3.20559
717,3.20112
718,3.20223
719,3.20334
720,3.20445
721,3.20556
722,3.20666
723,3.20776
724,3.20332
725,3.1989
726,3.19448
727,3.19008
728,3.1912
729,3.18681
730,3.18244
731,3.18356
732,3.18468
733,3.18579
734,3.1869
735,3.18801
736,3.18912
737,3.18478
738,3.18589
739,3.18157
740,3.18268
741,3.17838
742,3.17949
743,3.1752
744,3.17631
745,3.17742
746,3.17852
747,3.17426
748,3.17001
749,3.17112
750,3.17223
751,3.17333
752,3.17443
753,3.17553
754,3.17663
755,3.17772
756,3.17881
757,3.17989
758,3.18098
759,3.17678
760,3.17787
761,3.17895
762,3.18003
763,3.17585
764,3.17693
765,3.17277
766,3.17386
767,3.16971
768,3.1708
769,3.17188
770,3.17295
771,3.16883
772,3.16991
773,3.17098
774,3.16688
775,3.16796
776,3.16903
777,3.1701
778,3.16602
779,3.1671
780,3.16816
781,3.16923
782,3.17029
783,3.17136
784,3.17241
785,3.17347
786,3.17452
787,3.17557
788,3.17662
789,3.17766
790,3.17364
791,3.17468
792,3.17067
793,3.17172
794,3.17276
795,3.1738
796,3.17484
797,3.17588
798,3.17691
799,3.17794
800,3.17897
801,3.18
802,3.17603
803,3.17706
804,3.17808
805,3.1791
806,3.18012
807,3.18114
808,3.18216
809,3.18317
810,3.17923
811,3.18025
812,3.18126
813,3.18227
814,3.17835
815,3.17936
816,3.18037
817,3.18137
818,3.18237
819,3.18337
820,3.18437
821,3.18537
822,3.18149
823,3.17762
824,3.17861
825,3.17961
826,3.18061
827,3.1816
828,3.18259
829,3.18357
830,3.17973
831,3.1759
832,3.1769
833,3.17788
834,3.17887
835,3.17986
836,3.18084
837,3.18182
838,3.17802
839,3.179
840,3.17998
841,3.18095
842,3.18193
843,3.1829
844,3.18387
845,3.18009
846,3.18107
847,3.18203
848,3.183
849,3.18396
850,3.18021
851,3.18118
852,3.18214
853,3.1831
854,3.18406
855,3.18501
856,3.18596
857,3.18692
858,3.18786
859,3.18881
860,3.1851
861,3.1814
862,3.18235
863,3.18329
864,3.18424
865,3.18056
866,3.1815
867,3.18245
868,3.18339
869,3.18433
870,3.18067
871,3.17701
872,3.17796
873,3.1789
874,3.17984
875,3.18078
876,3.18171
877,3.18265
878,3.18358
879,3.18451
880,3.18544
881,3.18182
882,3.18275
883,3.18367
884,3.18007
885,3.181
886,3.18192
887,3.18284
888,3.18377
889,3.18468
890,3.1811
891,3.18202
892,3.18294
893,3.18386
894,3.18477
895,3.18568
896,3.18212
897,3.17857
898,3.17949
899,3.17595
900,3.17241
901,3.16889
902,3.16981
903,3.17073
904,3.17165
905,3.17257
906,3.16906
907,3.16998
908,3.17089
909,3.17181
910,3.17272
911,3.17363
912,3.17014
913,3.17105
914,3.17196
915,3.17287
916,3.17377
917,3.17031
918,3.17121
919,3.17211
920,3.17301
921,3.17391
922,3.17047
923,3.16703
924,3.16793
925,3.16883
926,3.16973
927,3.17063
928,3.17152
929,3.17241
930,3.1733
931,3.17419
932,3.17508
933,3.17597
934,3.17256
935,3.17345
936,3.17433
937,3.17521
938,3.17182
939,3.17271
940,3.17359
941,3.17447
942,3.17109
943,3.17197
944,3.17285
945,3.17373
946,3.1746
947,3.17548
948,3.17635
949,3.17722
950,3.17808
951,3.17895
952,3.17981
953,3.18067
954,3.17733
955,3.174
956,3.17487
957,3.17155
958,3.17241
959,3.1691
960,3.16997
961,3.17083
962,3.1717
963,3.17256
964,3.17342
965,3.17427
966,3.17513
967,3.17598
968,3.17684
969,3.17769
970,3.17853
971,3.17526
972,3.17611
973,3.17695
974,3.1778
975,3.17864
976,3.17538
977,3.17623
978,3.17707
979,3.17791
980,3.17875
981,3.17959
982,3.18043
983,3.18126
984,3.17803
985,3.1748
986,3.17157
987,3.17241
988,3.17325
989,3.17004
990,3.16684
991,3.16768
992,3.16448
993,3.16532
994,3.16616
995,3.167
996,3.16784
997,3.16867
998,3.16951
999,3.17034
1000,3.17117
1001,3.172
1002,3.17283
1003,3.17365
1004,3.17448
1005,3.1753
1006,3.17612
1007,3.17296
1008,3.17378
1009,3.1746
1010,3.17542
1011,3.17624
1012,3.17705
1013,3.17391
1014,3.17078
1015,3.1716
1016,3.16847
1017,3.16929
1018,3.17011
1019,3.16699
1020,3.16781
1021,3.16863
1022,3.16944
1023,3.16634
1024,3.16716
1025,3.16797
1026,3.16488
1027,3.16179
1028,3.16261
1029,3.16342
1030,3.16424
1031,3.16505
1032,3.16198
1033,3.15891
1034,3.15586
1035,3.15667
1036,3.15362
1037,3.15444
1038,3.15526
1039,3.15607
1040,3.15688
1041,3.15769
1042,3.15466
1043,3.15547
1044,3.15628
1045,3.15709
1046,3.15789
1047,3.1587
1048,3.1595
1049,3.16031
1050,3.16111
1051,3.1619
1052,3.1589
1053,3.1597
1054,3.16049
1055,3.16129
1056,3.15829
1057,3.1553
1058,3.1561
1059,3.1569
1060,3.15392
1061,3.15472
1062,3.15551
1063,3.15631
1064,3.1571
1065,3.15789
1066,3.15869
1067,3.15947
1068,3.16026
1069,3.1573
1070,3.15809
1071,3.15888
1072,3.15966
1073,3.16045
1074,3.1575
1075,3.15456
1076,3.15535
1077,3.15613
1078,3.1532
1079,3.15028
1080,3.15107
1081,3.15185
1082,3.15264
1083,3.15342
1084,3.1542
1085,3.15498
1086,3.15576
1087,3.15654
1088,3.15731
1089,3.15809
1090,3.15886
1091,3.15963
1092,3.1604
1093,3.16117
1094,3.16194
1095,3.16271
1096,3.16347
1097,3.16058
1098,3.16135
1099,3.16211
1100,3.16288
1101,3.16364
1102,3.1644
1103,3.16515
1104,3.16591
1105,3.16667
1106,3.16742
1107,3.16817
1108,3.16531
1109,3.16245
1110,3.16321
1111,3.16396
1112,3.16112
1113,3.16187
1114,3.16262
1115,3.16338
1116,3.16413
1117,3.16487
1118,3.16562
1119,3.16637
1120,3.16711
1121,3.16786
1122,3.16503
1123,3.16578
1124,3.16652
1125,3.16726
1126,3.16444
1127,3.16163
1128,3.15883
1129,3.15957
1130,3.16032
1131,3.16106
1132,3.1618
1133,3.16254
1134,3.16328
1135,3.16402
1136,3.16476
1137,3.16197
1138,3.16271
1139,3.16344
1140,3.16418
1141,3.16491
1142,3.16214
1143,3.15937
1144,3.1601
1145,3.16084
1146,3.16157
1147,3.1623
1148,3.15955
1149,3.15679
1150,3.15753
1151,3.15478
1152,3.15552
1153,3.15625
1154,3.15698
1155,3.15771
1156,3.15844
1157,3.15917
1158,3.15644
1159,3.15717
1160,3.15444
1161,3.15517
1162,3.15245
1163,3.15318
1164,3.15391
1165,3.1512
1166,3.15193
1167,3.15266
1168,3.15338
1169,3.15411
1170,3.15483
1171,3.15556
1172,3.15286
1173,3.15358
1174,3.1509
1175,3.15162
1176,3.15234
1177,3.15306
1178,3.15038
1179,3.1511
1180,3.15182
1181,3.15254
1182,3.15326
1183,3.15059
1184,3.15131
1185,3.14865
1186,3.14937
1187,3.15008
1188,3.1508
1189,3.15152
1190,3.15223
1191,3.14958
1192,3.15029
1193,3.15101
1194,3.15172
1195,3.15243
1196,3.15314
1197,3.1505
1198,3.15121
1199,3.15192
1200,3.14929
1201,3.15
1202,3.15071
1203,3.15141
1204,3.15212
1205,3.15282
1206,3.15353
1207,3.15423
1208,3.15162
1209,3.15232
1210,3.15302
1211,3.15372
1212,3.15442
1213,3.15182
1214,3.15251
1215,3.15321
1216,3.15391
1217,3.15461
1218,3.15201
1219,3.15271
1220,3.1534
1221,3.1541
1222,3.15479
1223,3.15548
1224,3.15617
1225,3.15686
1226,3.15755
1227,3.15498
1228,3.15566
1229,3.15635
1230,3.15704
1231,3.15772
1232,3.15841
1233,3.15584
1234,3.15328
1235,3.15397
1236,3.15466
1237,3.15534
1238,3.15602
1239,3.1567
1240,3.15738
1241,3.15806
1242,3.15874
1243,3.15942
1244,3.15688
1245,3.15756
1246,3.15502
1247,3.1557
1248,3.15317
1249,3.15064
1250,3.15132
1251,3.152
1252,3.15268
1253,3.15335
1254,3.15084
1255,3.15152
1256,3.149
1257,3.14968
1258,3.15036
1259,3.14785
1260,3.14853
1261,3.14921
1262,3.14671
1263,3.14739
1264,3.14806
1265,3.14557
1266,3.14625
1267,3.14692
1268,3.14759
1269,3.14826
1270,3.14894
1271,3.14961
1272,3.15028
1273,3.15094
1274,3.15161
1275,3.15228
1276,3.15294
1277,3.15361
1278,3.15427
1279,3.15493
1280,3.15559
1281,3.15625
1282,3.15691
1283,3.15445
1284,3.15511
1285,3.15576
1286,3.15331
1287,3.15397
1288,3.15462
1289,3.15217
1290,3.15283
1291,3.15349
1292,3.15414
1293,3.1548
1294,3.15545
1295,3.15611
1296,3.15676
1297,3.15741
1298,3.15806
1299,3.15871
1300,3.15627
1301,3.15385
1302,3.1545
1303,3.15515
1304,3.15579
1305,3.15644
1306,3.15709
1307,3.15773
1308,3.15838
1309,3.15902
1310,3.15966
1311,3.16031
1312,3.16095
1313,3.16159
1314,3.16222
1315,3.16286
1316,3.16046
1317,3.16109
1318,3.16173
1319,3.16237
1320,3.15997
1321,3.16061
1322,3.16124
1323,3.15885
1324,3.15949
1325,3.1571
1326,3.15472
1327,3.15535
1328,3.15599
1329,3.15663
1330,3.15726
1331,3.15789
1332,3.15853
1333,3.15916
1334,3.15979
1335,3.16042
1336,3.15805
1337,3.15569
1338,3.15632
1339,3.15695
1340,3.15758
1341,3.15821
1342,3.15884
1343,3.15946
1344,3.16009
1345,3.16071
1346,3.16134
1347,3.15899
1348,3.15961
1349,3.16024
1350,3.16086
1351,3.16148
1352,3.1621
1353,3.15976
1354,3.16038
1355,3.161
1356,3.15867
1357,3.15929
1358,3.15991
1359,3.16053
1360,3.16115
1361,3.16176
1362,3.16238
1363,3.163
1364,3.16361
1365,3.16422
1366,3.16484
1367,3.16545
1368,3.16606
1369,3.16667
1370,3.16728
1371,3.16788
1372,3.16849
1373,3.1691
1374,3.1697
1375,3.17031
1376,3.17091
1377,3.1686
1378,3.16921
1379,3.16981
1380,3.17041
1381,3.17101
1382,3.16872
1383,3.16643
1384,3.16703
1385,3.16763
1386,3.16823
1387,3.16883
1388,3.16943
1389,3.17003
1390,3.16775
1391,3.16835
1392,3.16894
1393,3.16667
1394,3.16726
1395,3.16499
1396,3.16559
1397,3.16332
1398,3.16106
1399,3.16166
1400,3.16226
1401,3.16286
1402,3.16345
1403,3.16405
1404,3.16465
1405,3.16524
1406,3.16584
1407,3.16643
1408,3.16418
1409,3.16477
1410,3.16537
1411,3.16596
1412,3.16655
1413,3.16714
1414,3.1649
1415,3.16266
1416,3.16325
1417,3.16102
1418,3.16161
1419,3.1622
1420,3.16279
1421,3.16338
1422,3.16115
1423,3.16174
1424,3.16233
1425,3.16292
1426,3.1607
1427,3.16129
1428,3.16188
1429,3.15966
1430,3.15745
1431,3.15804
1432,3.15863
1433,3.15922
1434,3.1598
1435,3.1576
1436,3.1554
1437,3.1532
1438,3.15379
1439,3.15438
1440,3.15497
1441,3.15556
1442,3.15614
1443,3.15673
1444,3.15454
1445,3.15512
1446,3.15571
1447,3.15629
1448,3.15688
1449,3.15746
1450,3.15804
1451,3.15862
1452,3.15644
1453,3.15702
1454,3.1576
1455,3.15818
1456,3.15876
1457,3.15934
1458,3.15992
1459,3.16049
1460,3.16107
1461,3.16164
1462,3.15948
1463,3.16005
1464,3.16063
1465,3.1612
1466,3.15904
1467,3.15962
1468,3.15746
1469,3.15804
1470,3.15589
1471,3.15374
1472,3.15432
1473,3.15217
1474,3.15003
1475,3.15061
1476,3.15119
1477,3.15176
1478,3.15234
1479,3.15291
1480,3.15348
1481,3.15405
1482,3.15463
1483,3.1552
1484,3.15577
1485,3.15633
1486,3.1569
1487,3.15478
1488,3.15535
1489,3.15591
1490,3.15379
1491,3.15436
1492,3.15493
1493,3.1555
1494,3.15606
1495,3.15395
1496,3.15184
1497,3.15241
1498,3.1503
1499,3.15087
1500,3.15143
1501,3.152
1502,3.15256
1503,3.15313
1504,3.15369
1505,3.1516
1506,3.15216
1507,3.15272
1508,3.15063
1509,3.15119
1510,3.15176
1511,3.14967
1512,3.15023
1513,3.15079
1514,3.15135
1515,3.15192
1516,3.15248
1517,3.15303
1518,3.15359
1519,3.15415
1520,3.15471
1521,3.15526
1522,3.15582
1523,3.15637
1524,3.15693
1525,3.15748
1526,3.15803
1527,3.15596
1528,3.15652
1529,3.15445
1530,3.155
1531,3.15556
1532,3.15611
1533,3.15666
1534,3.1546
1535,3.15515
1536,3.1557
1537,3.15625
1538,3.1568
1539,3.15735
1540,3.15789
1541,3.15584
1542,3.1538
1543,3.15435
1544,3.15489
1545,3.15285
1546,3.1534
1547,3.15395
1548,3.15449
1549,3.15504
1550,3.153
1551,3.15355
1552,3.15409
1553,3.15464
1554,3.15518
1555,3.15573
1556,3.15627
1557,3.15681
1558,3.15478
1559,3.15533
1560,3.15587
1561,3.15641
1562,3.15439
1563,3.15493
1564,3.15547
1565,3.15601
1566,3.15655
1567,3.15709
1568,3.15763
1569,3.15816
1570,3.1587
1571,3.15669
1572,3.15722
1573,3.15522
1574,3.15575
1575,3.15375
1576,3.15429
1577,3.15228
1578,3.15282
1579,3.15336
1580,3.15136
1581,3.1519
1582,3.15244
1583,3.15297
1584,3.15351
1585,3.15152
1586,3.15205
1587,3.15259
1588,3.15312
1589,3.15365
1590,3.15419
1591,3.15472
1592,3.15525
1593,3.15578
1594,3.15631
1595,3.15684
1596,3.15737
1597,3.15789
1598,3.15842
1599,3.15645
1600,3.15447
1601,3.1525
1602,3.15303
1603,3.15356
1604,3.15409
1605,3.15461
1606,3.15514
1607,3.15567
1608,3.15619
1609,3.15672
1610,3.15475
1611,3.15528
1612,3.1558
1613,3.15633
1614,3.15437
1615,3.15489
1616,3.15294
1617,3.15347
1618,3.15399
1619,3.15451
1620,3.15503
1621,3.15309
1622,3.15361
1623,3.15413
1624,3.15465
1625,3.15517
1626,3.15569
1627,3.15621
1628,3.15673
1629,3.15725
1630,3.15777
1631,3.15828
1632,3.1588
1633,3.15931
1634,3.15983
1635,3.16034
1636,3.16086
1637,3.15892
1638,3.15944
1639,3.15995
1640,3.16046
1641,3.15854
1642,3.15661
1643,3.15469
1644,3.1552
1645,3.15572
1646,3.15623
1647,3.15674
1648,3.15483
1649,3.15534
1650,3.15585
1651,3.15636
1652,3.15445
1653,3.15496
1654,3.15547
1655,3.15599
1656,3.1565
1657,3.157
1658,3.15751
1659,3.15802
1660,3.15612
1661,3.15663
1662,3.15473
1663,3.15283
1664,3.15334
1665,3.15385
1666,3.15435
1667,3.15486
1668,3.15537
1669,3.15588
1670,3.15638
1671,3.15689
1672,3.15739
1673,3.15789
1674,3.1584
1675,3.15651
1676,3.15701
1677,3.15752
1678,3.15802
1679,3.15852
1680,3.15902
1681,3.15952
1682,3.16002
1683,3.16052
1684,3.16102
1685,3.16152
1686,3.16202
1687,3.16251
1688,3.16301
1689,3.16114
1690,3.15927
1691,3.15976
1692,3.16026
1693,3.16076
1694,3.16125
1695,3.16175
1696,3.16224
1697,3.16274
1698,3.16323
1699,3.16137
1700,3.15951
1701,3.16
1702,3.15814
1703,3.15864
1704,3.15913
1705,3.15962
1706,3.16012
1707,3.16061
1708,3.1611
1709,3.15925
1710,3.15974
1711,3.16023
1712,3.16072
1713,3.15888
1714,3.15703
1715,3.15519
1716,3.15569
1717,3.15618
1718,3.15667
1719,3.15716
1720,3.15765
1721,3.15814
1722,3.15863
1723,3.15912
1724,3.15961
1725,3.15777
1726,3.15826
1727,3.15875
1728,3.15924
1729,3.15972
1730,3.16021
1731,3.16069
1732,3.16118
1733,3.16166
1734,3.16215
1735,3.16032
1736,3.1585
1737,3.15899
1738,3.15947
1739,3.15995
1740,3.16044
1741,3.16092
1742,3.1591
1743,3.15959
1744,3.16007
1745,3.15826
1746,3.15874
1747,3.15922
1748,3.1597
1749,3.16018
1750,3.16066
1751,3.15886
1752,3.15934
1753,3.15753
1754,3.15801
1755,3.15849
1756,3.15897
1757,3.15945
1758,3.15766
1759,3.15813
1760,3.15634
1761,3.15682
1762,3.1573
1763,3.15778
1764,3.15825
1765,3.15646
1766,3.15694
1767,3.15742
1768,3.15563
1769,3.15611
1770,3.15659
1771,3.15706
1772,3.15754
1773,3.15801
1774,3.15849
1775,3.15896
1776,3.15944
1777,3.15991
1778,3.16038
1779,3.16085
1780,3.16133
1781,3.1618
1782,3.16227
1783,3.16274
1784,3.16096
1785,3.16143
1786,3.1619
1787,3.16237
1788,3.16284
1789,3.16331
1790,3.16154
1791,3.16201
1792,3.16248
1793,3.16295
1794,3.16341
1795,3.16388
1796,3.16435
1797,3.16481
1798,3.16528
1799,3.16574
1800,3.1662
1801,3.16667
1802,3.16713
1803,3.16759
1804,3.16805
1805,3.1663
1806,3.16454
1807,3.16501
1808,3.16325
1809,3.16372
1810,3.16197
1811,3.16243
1812,3.16289
1813,3.16336
1814,3.16382
1815,3.16428
1816,3.16474
1817,3.1652
1818,3.16346
1819,3.16392
1820,3.16438
1821,3.16484
1822,3.16529
1823,3.16575
1824,3.16621
1825,3.16667
1826,3.16712
1827,3.16758
1828,3.16804
1829,3.1663
1830,3.16676
1831,3.16721
1832,3.16548
1833,3.16594
1834,3.16639
1835,3.16685
1836,3.16512
1837,3.1634
1838,3.16385
1839,3.16431
1840,3.16476
1841,3.16304
1842,3.1635
1843,3.16178
1844,3.16007
1845,3.16052
1846,3.16098
1847,3.16143
1848,3.16188
1849,3.16234
1850,3.16279
1851,3.16324
1852,3.1637
1853,3.16199
1854,3.16244
1855,3.16073
1856,3.15903
1857,3.15948
1858,3.15994
1859,3.16039
1860,3.16084
1861,3.16129
1862,3.16174
1863,3.16219
1864,3.16049
1865,3.1588
1866,3.15925
1867,3.15756
1868,3.15801
1869,3.15846
1870,3.15891
1871,3.15936
1872,3.15981
1873,3.16026
1874,3.1607
1875,3.15902
1876,3.15947
1877,3.15991
1878,3.16036
1879,3.16081
1880,3.16126
1881,3.1617
1882,3.16215
